caller_id,receiver_id,timestamp,duration_seconds,tower_location
N01,N07,2026-06-28 01:22:36,549,L03
R17,R30,2026-08-16 22:08:37,422,L07
R10,R29,2026-06-07 05:08:13,920,L05
R33,R15,2026-08-26 00:47:15,103,L09
R04,R16,2026-08-30 13:17:39,384,L09
R17,R35,2026-06-12 05:55:04,769,L05
N22,N23,2026-07-06 15:15:00,843,L01
N02,N21,2026-07-24 21:18:18,496,L05
R20,R30,2026-07-29 13:03:21,78,L01
R20,R08,2026-06-05 08:17:05,874,L10
N06,N20,2026-07-26 06:13:42,249,L03
N11,N13,2026-06-26 07:42:44,878,L05
N03,N15,2026-08-18 06:22:45,600,L04
N08,N12,2026-06-17 07:54:01,43,L09
R36,R02,2026-07-26 10:02:41,1362,L05
R13,R21,2026-07-26 01:19:57,1041,L03
R13,R12,2026-07-25 19:38:21,1357,L02
R28,R32,2026-08-28 04:24:59,977,L06
N08,N04,2026-08-05 15:17:05,661,L02
R22,R08,2026-07-08 09:12:21,1377,L07
N12,N14,2026-08-30 16:38:35,1142,L06
R15,R09,2026-06-15 02:24:00,620,L02
R27,R06,2026-06-21 10:44:46,247,L08
R23,R02,2026-07-08 18:08:05,826,L09
R06,R19,2026-06-30 17:33:16,865,L03
R11,R12,2026-06-08 04:28:00,798,L10
N02,N20,2026-06-28 23:28:15,895,L10
R02,R06,2026-06-21 19:58:15,1395,L10
R33,R12,2026-06-04 13:29:11,911,L08
R23,R01,2026-06-17 12:11:23,308,L10
R05,R15,2026-08-24 01:49:18,1295,L10
R30,R29,2026-06-04 10:08:03,770,L05
R19,R17,2026-07-07 23:09:47,1065,L03
R23,R10,2026-06-22 12:00:40,314,L05
R18,R33,2026-07-20 03:19:11,911,L02
R30,R36,2026-08-26 20:02:29,99,L08
N03,N19,2026-07-28 06:42:33,124,L03
R30,R19,2026-08-10 19:25:22,1044,L09
R22,R27,2026-08-03 02:58:59,605,L07
R13,R09,2026-08-11 13:44:38,764,L09
R04,R29,2026-06-10 10:02:53,718,L02
R30,R21,2026-08-19 03:12:36,504,L10
R35,R02,2026-07-28 12:11:22,1192,L04
R06,R28,2026-08-29 00:41:22,1312,L02
R15,R34,2026-07-05 14:44:44,921,L05
N03,N17,2026-07-12 09:41:41,55,L10
N12,N08,2026-07-30 03:54:52,1349,L01
N01,N06,2026-06-04 22:44:09,833,L09
R23,R20,2026-08-28 01:26:57,1371,L07
N01,N05,2026-08-10 14:23:58,957,L06
N01,N06,2026-06-06 22:47:35,586,L06
R34,R30,2026-06-02 09:31:08,310,L07
N01,N17,2026-08-26 06:34:07,190,L04
R18,R01,2026-07-22 11:59:20,115,L10
R29,R21,2026-08-18 15:30:54,1299,L06
R03,R05,2026-06-22 08:44:17,603,L04
R21,R04,2026-06-27 16:42:54,782,L07
N03,N15,2026-08-24 12:54:34,936,L05
R33,R14,2026-06-15 01:55:50,1002,L04
N02,N20,2026-06-30 01:06:32,791,L03
R22,R33,2026-06-25 07:30:18,20,L05
R29,R23,2026-08-29 21:01:52,627,L07
R25,R30,2026-07-04 18:17:20,1121,L07
R16,R27,2026-06-18 01:05:36,1383,L02
R28,N09,2026-06-06 17:48:41,952,L01
R05,R23,2026-06-22 22:37:08,1360,L02
N19,N13,2026-06-04 23:40:22,423,L01
R32,R19,2026-08-10 14:13:05,486,L10
N03,N16,2026-06-27 09:03:29,146,L07
N19,N22,2026-06-10 08:04:25,686,L05
N02,N19,2026-07-02 15:43:53,270,L05
N10,N04,2026-07-23 15:50:50,653,L10
R27,R18,2026-06-03 23:27:08,773,L04
R27,R34,2026-06-11 08:12:36,145,L08
N21,N20,2026-07-17 21:35:51,1127,L08
N09,N15,2026-06-23 04:35:51,966,L10
N03,N14,2026-07-15 01:23:37,1048,L07
N03,N14,2026-07-15 04:22:54,1137,L08
N03,N17,2026-07-29 22:14:04,40,L07
R22,R09,2026-06-05 00:49:44,1133,L06
R29,R24,2026-07-17 16:54:42,238,L08
R30,R24,2026-06-09 00:28:32,231,L04
N01,N07,2026-06-28 00:02:40,904,L06
R04,R14,2026-06-25 07:15:02,283,L05
R01,R27,2026-07-11 23:54:00,1231,L08
R26,R05,2026-06-13 21:51:15,1311,L01
N03,N15,2026-08-22 15:50:17,577,L08
R29,R11,2026-08-03 03:41:54,74,L01
R12,R32,2026-07-13 05:16:24,1169,L10
R06,R34,2026-06-20 13:51:00,874,L08
R19,R30,2026-07-17 00:07:24,896,L02
R17,R10,2026-07-01 08:03:45,1208,L03
R08,R10,2026-07-16 08:27:07,612,L09
R14,R22,2026-08-26 05:42:26,1010,L04
R05,R06,2026-07-26 23:10:41,1053,L07
R19,R29,2026-06-12 07:35:18,637,L07
R08,R36,2026-08-05 14:18:51,455,L07
R09,R07,2026-08-22 05:02:01,1338,L01
R09,R06,2026-06-29 04:07:36,786,L06
N02,N22,2026-06-25 07:31:51,1266,L02
N01,N08,2026-08-06 10:58:01,1117,L04
R25,R21,2026-07-28 00:55:45,1014,L09
N05,N19,2026-08-26 08:53:25,189,L04
N18,N08,2026-08-12 17:45:49,909,L07
R08,R36,2026-08-09 13:32:40,1256,L10
R24,R16,2026-07-06 03:23:12,182,L06
R27,R22,2026-06-30 05:11:28,229,L03
R02,R04,2026-08-11 14:21:33,513,L03
R08,R30,2026-06-09 08:12:53,449,L10
N15,N11,2026-06-17 18:39:00,120,L05
N23,N05,2026-07-10 15:06:14,1083,L05
R27,R22,2026-08-01 18:42:45,122,L06
N02,N20,2026-06-29 01:08:57,275,L04
R30,R19,2026-08-01 15:54:07,338,L02
N02,N22,2026-06-21 02:03:18,1304,L10
R23,R28,2026-06-11 02:10:59,1229,L08
R36,R04,2026-07-24 08:50:23,1165,L09
R02,R18,2026-07-23 10:31:24,373,L08
N24,N18,2026-08-26 12:42:59,394,L04
R07,R34,2026-08-17 10:56:47,598,L02
R21,R31,2026-08-04 04:13:03,795,L07
R33,R08,2026-07-19 06:50:27,412,L06
N01,N05,2026-08-15 23:32:15,978,L04
R01,R35,2026-07-13 00:57:22,126,L04
R22,R09,2026-07-25 08:23:10,330,L03
R15,R02,2026-06-30 00:00:27,217,L06
N02,N23,2026-06-15 20:58:48,26,L02
R27,R07,2026-06-29 10:36:20,655,L05
N03,N16,2026-06-24 23:41:05,1126,L08
N02,N22,2026-06-18 14:54:25,109,L04
N03,N18,2026-07-01 08:32:59,1014,L04
R16,R11,2026-06-29 06:40:41,43,L09
N12,N23,2026-07-12 06:58:46,642,L05
R34,R24,2026-06-07 03:48:41,1092,L09
R17,R14,2026-08-15 23:33:33,1138,L10
R23,R15,2026-07-28 22:22:24,1286,L05
R10,R27,2026-07-30 14:20:57,1017,L10
R33,R24,2026-06-02 15:48:55,647,L03
R35,R23,2026-06-06 12:14:29,580,L04
N03,N14,2026-07-11 01:50:01,921,L10
R06,R04,2026-06-15 03:47:11,1280,L01
N19,N02,2026-07-02 14:17:34,892,L06
R28,R06,2026-08-26 02:57:59,469,L08
N19,N23,2026-08-15 13:58:06,512,L02
R31,R23,2026-07-01 06:02:55,1127,L07
R25,R15,2026-08-17 21:31:56,856,L01
N23,R33,2026-08-11 01:21:28,1357,L06
R29,R16,2026-08-17 20:18:11,218,L06
R12,R11,2026-08-05 15:03:49,104,L07
R10,R15,2026-08-18 06:32:49,1396,L07
N24,N19,2026-06-25 10:10:33,517,L02
R22,R11,2026-07-04 16:11:45,679,L10
R05,R22,2026-06-09 14:24:03,806,L05
R02,R36,2026-06-30 20:21:56,1264,L04
R04,R19,2026-07-25 15:17:44,735,L02
N03,N15,2026-08-23 15:50:37,1320,L05
R12,R30,2026-08-29 06:06:32,995,L03
N21,N23,2026-07-15 15:57:13,50,L02
R22,R15,2026-07-01 07:25:18,359,L02
N02,N23,2026-06-21 03:02:08,1075,L08
N05,N08,2026-06-12 11:39:59,1386,L02
N16,N06,2026-08-23 09:24:44,292,L01
N16,N04,2026-08-14 19:30:02,835,L08
R09,R34,2026-06-09 12:06:04,1388,L07
R26,R06,2026-08-17 12:15:19,1396,L09
R11,R16,2026-06-16 19:36:31,168,L03
R19,R08,2026-07-07 20:35:26,680,L03
R18,R27,2026-08-15 23:02:13,982,L04
R30,R36,2026-06-14 03:53:53,405,L10
N16,N06,2026-07-06 15:24:00,972,L01
R36,R21,2026-07-05 15:53:42,1238,L09
R11,R18,2026-07-11 21:18:47,1066,L03
R33,R35,2026-08-15 23:54:06,1093,L01
N07,N24,2026-07-15 01:29:22,1222,L09
N01,N07,2026-07-01 18:42:16,558,L01
N03,N18,2026-06-26 08:34:25,1009,L01
R34,R24,2026-07-27 15:49:56,1035,L08
R10,R32,2026-08-27 19:10:35,273,L09
R19,R02,2026-08-28 23:49:50,1363,L07
R24,R10,2026-08-02 12:01:01,986,L02
N12,R09,2026-08-02 23:28:39,767,L09
R31,R29,2026-07-26 23:55:14,177,L01
N19,N07,2026-07-13 07:38:03,539,L06
N03,N14,2026-07-13 21:05:15,1159,L10
R21,R28,2026-07-23 04:18:17,1326,L07
R21,R02,2026-06-16 20:33:13,122,L03
R09,R01,2026-07-03 14:24:04,502,L10
R28,R26,2026-07-18 16:20:03,825,L05
N16,N04,2026-07-10 10:48:54,756,L08
N01,N08,2026-08-05 09:05:59,1195,L04
R29,R05,2026-08-21 19:59:55,674,L10
R14,R05,2026-08-15 12:19:19,1150,L04
R01,R18,2026-08-18 02:45:32,311,L03
R34,R29,2026-08-23 08:42:10,386,L10
N02,N23,2026-06-17 18:22:13,833,L04
N16,N12,2026-08-18 18:17:12,946,L01
N01,N08,2026-08-04 08:02:56,908,L01
R28,R12,2026-06-12 18:08:29,1105,L04
N22,N13,2026-07-07 02:17:35,421,L02
N01,N08,2026-08-05 18:55:48,1062,L02
F15,F09,2026-02-13 16:24:36,880,S12
M02,F12,2026-02-28 03:57:02,499,S11
M03,F09,2026-01-08 11:33:06,611,S09
F12,F07,2026-01-19 20:48:48,251,S03
F15,F10,2026-03-06 02:44:59,648,S11
M04,M08,2026-02-05 02:49:50,639,S02
M03,M02,2026-02-21 00:04:52,926,S05
M06,M01,2026-01-20 04:27:11,270,S03
F08,F05,2026-01-01 05:00:11,166,S09
M04,M03,2026-03-28 01:15:54,497,S08
M03,F07,2026-01-10 12:41:29,939,S07
M01,F02,2026-01-29 14:30:40,1055,S02
M01,M03,2026-03-15 22:55:14,1106,S04
F08,F04,2026-01-10 04:48:19,797,S11
F07,F04,2026-03-24 07:01:49,1174,S04
M01,F03,2026-02-21 23:12:07,505,S04
M01,M04,2026-01-03 08:05:42,482,S08
M04,M07,2026-01-27 22:54:19,336,S08
F15,F13,2026-01-10 03:18:01,763,S05
F05,F06,2026-03-18 22:30:55,443,S02
F14,F13,2026-01-05 11:35:06,994,S01
M01,F01,2026-02-05 00:06:22,481,S04
F05,F04,2026-03-21 23:58:02,442,S01
M01,F01,2026-02-02 20:04:06,467,S10
M03,F08,2026-01-08 16:46:43,294,S01
M02,F10,2026-03-01 01:16:55,412,S02
M02,F10,2026-02-23 01:49:51,38,S04
F01,F02,2026-03-09 04:16:43,715,S04
F14,F12,2026-02-24 14:15:09,1131,S03
M04,M07,2026-01-15 10:52:28,706,S05
F08,F11,2026-02-05 22:13:50,1088,S07
M03,F09,2026-01-07 16:25:38,899,S09
F09,F01,2026-01-04 20:38:58,870,S08
M02,F11,2026-01-07 09:51:24,713,S05
M02,F12,2026-03-01 09:10:58,144,S02
F08,F03,2026-02-03 13:17:51,186,S03
M03,F08,2026-01-07 06:52:10,108,S08
M02,F11,2026-01-11 20:15:10,122,S04
M01,F01,2026-01-31 17:04:46,1017,S06
M07,M02,2026-03-27 17:23:34,996,S12
M03,M08,2026-03-28 11:04:50,615,S05
F14,F03,2026-01-24 16:26:35,567,S01
M03,F09,2026-01-09 21:23:53,1132,S10
M03,F07,2026-01-16 04:26:03,298,S02
M06,M02,2026-01-24 16:21:35,300,S01
F06,F13,2026-02-13 16:00:50,221,S02
M06,M01,2026-03-27 23:04:53,920,S09
M01,F02,2026-01-26 01:06:29,450,S02
F03,F15,2026-03-21 20:09:10,636,S04
M01,F02,2026-01-28 21:01:15,654,S07
M03,F09,2026-01-13 15:36:11,941,S03
M01,F03,2026-02-21 10:12:18,1093,S11
M02,M06,2026-01-31 22:30:01,188,S09
F06,F10,2026-02-20 05:18:32,269,S02
F09,F15,2026-02-23 19:17:08,564,S02
F06,F10,2026-03-27 00:52:40,458,S12
M02,F10,2026-02-24 21:52:15,124,S12
F12,F13,2026-01-14 13:53:38,304,S03
M02,F12,2026-02-25 20:20:58,258,S06
F01,F05,2026-03-04 19:48:30,320,S07
M03,F07,2026-01-11 17:19:13,364,S10
M02,F11,2026-01-10 15:19:51,833,S04
F14,F02,2026-01-09 23:32:49,656,S05
F05,F16,2026-01-26 05:16:51,155,S10
M04,M05,2026-01-27 16:30:56,421,S12
M03,F08,2026-01-11 05:49:03,460,S04
F05,F15,2026-03-21 17:10:05,331,S01
M01,F02,2026-01-29 00:13:34,1037,S01
F10,F08,2026-03-14 11:09:23,257,S10
F02,F15,2026-03-01 15:19:47,148,S07
M02,F12,2026-03-02 07:42:32,788,S08
F15,F02,2026-02-15 04:19:23,696,S01
M04,M05,2026-03-26 14:16:50,312,S09
F04,F10,2026-01-31 07:52:45,593,S10
M01,F01,2026-01-31 19:18:15,1115,S04
M07,M01,2026-01-11 01:43:31,74,S11
M01,F03,2026-02-20 12:22:52,510,S11
