sender_id,receiver_id,amount,timestamp,mode
R27,R20,5000,2026-07-15 01:33:40,UPI
N02,N04,10000,2026-07-04 02:53:50,cash
N24,N08,35000,2026-06-02 06:45:35,bank_transfer
R04,R34,5000,2026-06-04 01:52:15,bank_transfer
R36,R33,2500,2026-07-08 03:10:06,cash
R02,R20,60000,2026-07-13 03:12:01,UPI
R10,R16,60000,2026-06-18 11:10:46,UPI
R23,R10,5000,2026-06-26 02:01:08,cash
R03,R26,22000,2026-08-27 23:30:55,UPI
R24,R06,10000,2026-07-19 17:49:40,cash
R32,R10,30000,2026-06-06 18:10:31,UPI
R05,R31,30000,2026-06-03 21:18:32,cash
N03,N22,5000,2026-08-27 18:47:33,UPI
R06,R33,22000,2026-08-07 20:04:37,cash
N17,N14,2500,2026-07-12 13:38:52,bank_transfer
R13,R30,15000,2026-06-10 17:37:39,cash
N06,N20,30000,2026-08-17 21:49:26,UPI
N21,N12,2500,2026-08-03 01:00:23,bank_transfer
R26,R05,10000,2026-06-28 05:37:14,bank_transfer
R35,R25,10000,2026-08-14 22:13:09,UPI
R23,R36,22000,2026-06-09 11:15:08,UPI
R04,R09,15000,2026-07-16 20:30:30,cash
R05,R06,30000,2026-06-25 09:15:03,bank_transfer
N03,N23,45000,2026-07-18 18:06:29,UPI
R14,R29,5000,2026-08-12 14:08:42,UPI
N03,N20,2500,2026-07-28 18:26:26,cash
N01,N09,5000,2026-07-13 03:53:24,UPI
N10,N12,10000,2026-07-26 22:20:31,cash
R07,R01,10000,2026-06-09 23:21:24,bank_transfer
R36,R02,45000,2026-08-26 17:21:43,bank_transfer
R01,R20,15000,2026-07-11 11:18:11,cash
N03,N19,7500,2026-07-12 07:50:16,UPI
R21,R27,15000,2026-07-08 03:38:16,UPI
N01,N10,30000,2026-07-14 09:09:27,cash
N16,N05,22000,2026-07-12 09:40:24,UPI
N19,N18,22000,2026-06-14 15:16:39,bank_transfer
R18,R25,2500,2026-08-01 07:17:58,cash
R27,R36,30000,2026-07-19 05:30:07,cash
R34,R36,10000,2026-07-23 19:51:07,UPI
N02,N08,2500,2026-07-28 03:07:26,cash
R10,R30,60000,2026-08-23 05:47:41,UPI
N23,N18,60000,2026-08-23 01:32:54,bank_transfer
R21,R19,45000,2026-08-06 20:57:56,bank_transfer
N15,N22,2500,2026-08-13 10:18:11,UPI
N04,N02,60000,2026-08-15 10:02:33,cash
R03,R29,2500,2026-07-25 09:33:43,cash
N17,N11,5000,2026-06-08 21:26:07,cash
N02,N07,15000,2026-07-17 05:16:33,bank_transfer
R27,R02,5000,2026-06-22 21:36:54,cash
N02,N08,60000,2026-07-24 23:11:26,cash
R34,R09,10000,2026-08-06 05:38:31,cash
N03,N21,7500,2026-07-11 07:56:57,bank_transfer
R10,R13,30000,2026-07-01 00:25:32,bank_transfer
R16,R21,30000,2026-07-05 05:18:17,UPI
R35,R36,2500,2026-07-08 10:21:47,bank_transfer
R20,R01,10000,2026-06-20 06:35:17,bank_transfer
N02,N04,15000,2026-07-06 18:31:40,UPI
R17,R14,5000,2026-07-01 01:17:39,UPI
N05,N16,10000,2026-06-30 10:44:45,cash
R06,R03,30000,2026-06-09 12:12:18,UPI
N01,N10,45000,2026-07-15 23:00:49,cash
N02,N05,22000,2026-08-02 16:22:31,bank_transfer
R24,R33,45000,2026-08-20 08:03:40,cash
R18,R35,2500,2026-08-28 22:48:53,bank_transfer
N01,N11,22000,2026-08-10 22:08:39,UPI
R03,R24,60000,2026-08-03 20:22:09,bank_transfer
N01,N13,45000,2026-06-23 20:28:25,bank_transfer
N08,N19,47000,2026-06-06 06:45:35,cash
N17,N15,45000,2026-08-13 14:11:00,cash
R25,R11,15000,2026-06-13 15:13:36,UPI
R27,R03,10000,2026-07-22 04:33:14,bank_transfer
R14,R31,5000,2026-06-25 16:04:17,bank_transfer
N03,N19,7500,2026-07-05 09:57:17,cash
R12,R25,15000,2026-06-08 19:09:21,cash
R29,R22,7500,2026-07-10 04:27:56,UPI
R32,R09,10000,2026-07-28 15:12:21,UPI
N07,N08,5000,2026-08-01 21:52:00,bank_transfer
R25,R35,7500,2026-07-01 04:29:52,bank_transfer
R08,R31,10000,2026-08-23 05:08:23,UPI
R12,R35,10000,2026-07-14 02:09:54,UPI
R30,R35,15000,2026-07-30 00:48:26,UPI
N03,N23,5000,2026-07-13 11:43:28,UPI
N03,N20,2500,2026-08-01 02:36:15,cash
N02,N07,7500,2026-07-16 03:58:26,cash
R23,R18,5000,2026-08-12 08:08:27,UPI
R34,R15,15000,2026-07-08 15:12:55,cash
N03,N19,45000,2026-07-09 20:00:20,UPI
R10,R25,5000,2026-06-29 19:37:30,cash
N01,N12,45000,2026-06-14 01:31:05,bank_transfer
R16,R36,15000,2026-06-30 06:24:25,UPI
N17,N21,47000,2026-06-20 18:53:14,cash
R01,R19,5000,2026-07-08 15:45:40,bank_transfer
R07,R28,5000,2026-06-22 03:00:09,UPI
R10,R01,45000,2026-06-20 21:41:01,UPI
R16,R32,22000,2026-07-21 02:36:11,UPI
M03,F12,3000,2026-01-06 09:35:06,cash
M08,M04,12000,2026-02-25 19:45:21,wire
F15,F13,3000,2026-01-26 09:08:41,cash
M01,F06,3000,2026-02-04 05:09:49,cash
M04,M03,5000,2026-01-10 16:34:44,wire
F12,F13,3000,2026-01-05 15:00:59,cash
M01,F06,20000,2026-02-10 09:20:30,cash
M01,F05,3000,2026-03-06 02:31:41,bank_transfer
F08,F13,1500,2026-01-09 15:22:30,wire
M03,F12,1500,2026-01-04 05:57:01,wire
M07,M06,1500,2026-03-26 02:44:40,wire
F16,F10,1500,2026-01-22 16:24:41,cash
M08,M04,18000,2026-03-13 22:49:36,wire
M02,F03,12000,2026-01-10 02:16:03,cash
F14,F11,12000,2026-02-05 11:34:13,cash
F03,F04,8000,2026-03-07 01:11:11,wire
F10,F09,8000,2026-03-07 21:25:38,cash
F09,F12,20000,2026-01-15 10:07:33,cash
F13,F04,3000,2026-02-08 08:35:37,wire
M03,F11,3000,2026-01-06 05:50:54,cash
M01,F05,8000,2026-03-04 18:34:57,wire
M02,M03,5000,2026-01-27 00:09:31,cash
M03,F11,1500,2026-01-05 21:12:37,wire
M06,M08,8000,2026-01-10 18:01:13,bank_transfer
M01,F04,1500,2026-02-22 21:14:11,bank_transfer
M04,M05,1500,2026-02-03 09:55:52,wire
M01,F06,3000,2026-02-07 07:36:40,cash
F16,F07,20000,2026-02-24 02:28:42,wire
M03,M05,5000,2026-02-11 20:33:28,cash
F01,F06,20000,2026-02-01 04:20:44,wire
M03,F10,12000,2026-02-04 21:38:09,wire
M02,F03,12000,2026-01-15 07:47:16,cash
F08,F15,12000,2026-01-24 21:08:36,wire
M02,F01,20000,2026-01-27 17:48:10,wire
M04,F13,16500,2026-03-22 22:49:36,cash
M04,M06,5000,2026-01-06 22:24:05,wire
M02,F01,5000,2026-01-29 21:19:32,bank_transfer
M02,F02,20000,2026-01-28 13:14:48,wire
F12,F06,12000,2026-03-04 09:47:09,wire
F04,F13,1500,2026-02-22 18:42:59,bank_transfer
M01,F04,12000,2026-02-19 21:01:13,bank_transfer
F08,F03,1500,2026-02-27 22:46:07,bank_transfer
M03,F10,1500,2026-02-08 06:14:12,cash
M02,M04,8000,2026-02-04 09:22:36,cash
M02,F01,20000,2026-01-24 16:33:40,cash
M07,M04,8000,2026-02-06 20:36:48,bank_transfer
M02,F02,5000,2026-01-27 20:54:31,wire
M03,F11,5000,2026-01-07 08:32:09,cash
F10,F11,5000,2026-03-07 02:21:24,wire
M01,F05,8000,2026-03-08 20:19:05,wire
F16,F04,5000,2026-02-25 04:58:55,cash
M03,F12,1500,2026-01-06 02:31:26,cash
